M1_X,M1_Y,M1_Z,M2_X,M2_Y,M2_Z,M3_X,M3_Y,M3_Z,M4_X,M4_Y,M4_Z,M5_X,M5_Y,M5_Z,M6_X,M6_Y,M6_Z,M7_X,M7_Y,M7_Z,M8_X,M8_Y,M8_Z,M9_X,M9_Y,M9_Z,M10_X,M10_Y,M10_Z,M11_X,M11_Y,M11_Z,M12_X,M12_Y,M12_Z,M13_X,M13_Y,M13_Z,M14_X,M14_Y,M14_Z,M15_X,M15_Y,M15_Z,M16_X,M16_Y,M16_Z,M17_X,M17_Y,M17_Z,M18_X,M18_Y,M18_Z,M19_X,M19_Y,M19_Z,M20_X,M20_Y,M20_Z,M21_X,M21_Y,M21_Z,M22_X,M22_Y,M22_Z,M23_X,M23_Y,M23_Z,M24_X,M24_Y,M24_Z,M25_X,M25_Y,M25_Z,M26_X,M26_Y,M26_Z,M27_X,M27_Y,M27_Z,M28_X,M28_Y,M28_Z,M29_X,M29_Y,M29_Z,M30_X,M30_Y,M30_Z,M31_X,M31_Y,M31_Z,M32_X,M32_Y,M32_Z,M33_X,M33_Y,M33_Z,M34_X,M34_Y,M34_Z,M35_X,M35_Y,M35_Z,M36_X,M36_Y,M36_Z,M37_X,M37_Y,M37_Z,M38_X,M38_Y,M38_Z,M39_X,M39_Y,M39_Z,M40_X,M40_Y,M40_Z,M41_X,M41_Y,M41_Z,M42_X,M42_Y,M42_Z,M43_X,M43_Y,M43_Z,M44_X,M44_Y,M44_Z,M45_X,M45_Y,M45_Z,M46_X,M46_Y,M46_Z,M47_X,M47_Y,M47_Z,M48_X,M48_Y,M48_Z,M49_X,M49_Y,M49_Z,M50_X,M50_Y,M50_Z,M51_X,M51_Y,M51_Z,M52_X,M52_Y,M52_Z,M53_X,M53_Y,M53_Z
2.013,1605.102,235.637,85.578,1540.237,245.802,132.045,1564.537,142.182,-61.874,1547.592,164.494,-10.049,1562.943,72.458,69.304,1400.782,-12.995,75.167,1180.026,-75.397,43.638,1301.671,140.335,25.981,1137.235,166.08,168.674,1299.446,139.442,197.81,1332.857,-32.732,276.899,1141.953,9.52,273.942,1041.582,30.601,199.1,1038.42,12.163,269.313,821.847,52.228,225.038,826.971,123.984,273.601,904.976,53.614,241.879,739.902,122.181,258.004,740.108,62.283,-87.086,1310.644,87.258,-39.615,1332.771,-78.402,-152.275,1171.492,-58.312,-175.865,1048.23,-34.51,-95.827,1029.532,-32.754,-196.347,823.488,-20.543,-206.413,828.063,59.259,-205.015,925.118,-9.79,-218.042,774.257,51.407,-201.17,745.974,-9.989,144.953,961.284,146.802,4.158,961.258,187.582,149.58,966.797,-38.523,-92.66,978.074,104.082,45.761,975.185,-64.779,-41.24,983.3,-66.351,179.717,629.701,134.213,202.937,452.463,64.15,93.591,420.062,77.534,225.473,322.622,-9.837,222.642,70.05,1.809,189.9,7.218,-59.892,255.069,33.797,151.271,153.945,36.465,130.049,214.975,44.159,184.236,-129.142,631.271,-15.531,-125.372,459.529,49.086,-28.623,444.048,78.818,-120.06,271.038,56.401,-118.897,68.239,-11.517,-48.643,9.378,-54.968,-175.802,41.069,141.71,-97.521,54.454,143.65,-131.182,41.721,194.597
2.649,1603.027,238.756,86.808,1538.682,246.888,131.632,1564.47,142.876,-61.904,1545.802,167.977,-11.328,1562.493,75.336,68.39,1400.863,-12.576,74.255,1180.214,-75.509,43.071,1301.443,140.532,25.69,1136.995,166.095,168.076,1299.237,139.49,197.095,1333.126,-32.607,276.669,1142.314,8.446,272.942,1041.339,29.572,198.01,1038.616,10.435,266.483,822.34,52.782,222.177,827.982,124.49,271.222,904.752,53.681,242.185,741.132,123.716,257.365,741.208,63.993,-87.764,1310.385,87.94,-40.718,1332.984,-77.83,-152.144,1170.973,-57.97,-173.389,1047.187,-33.874,-92.987,1029.585,-34.032,-190.281,822.064,-20.232,-199.073,825.802,59.787,-200.471,923.491,-9.11,-209.157,771.592,51.675,-192.424,744.401,-10.152,144.768,961.279,146.29,3.926,961.114,187.468,148.742,966.676,-39.613,-93.101,977.96,104.215,44.824,975.133,-65.161,-42.133,983.193,-66.637,178.899,629.876,133.613,202.496,452.358,64.203,93.25,419.899,77.729,225.248,322.606,-9.725,222.663,70.107,1.815,189.899,7.196,-59.883,254.954,33.962,151.259,153.928,36.504,130.018,214.911,44.341,184.211,-129.784,631.026,-14.805,-125.711,459.43,50.242,-28.872,444.057,79.544,-120.047,270.741,57.121,-118.923,68.26,-11.555,-48.659,9.337,-55.014,-175.538,41.656,141.552,-97.196,54.76,143.701,-130.946,42.043,194.635
3.276,1601.063,241.78,87.846,1537.171,247.916,131.252,1564.352,143.652,-61.93,1544.112,171.36,-12.587,1562.011,78.234,67.444,1400.954,-12.046,73.317,1180.436,-75.568,42.567,1301.155,140.879,25.421,1136.751,166.15,167.525,1299.036,139.632,196.294,1333.326,-32.392,276.72,1142.858,7.38,272.833,1041.354,28.497,197.387,1038.776,9.314,265.924,823.049,53.885,221.276,828.665,125.408,270.635,904.87,53.819,244.184,742.527,125.823,259.23,741.964,66.101,-88.428,1310.079,88.733,-41.948,1333.258,-77.135,-152.227,1170.598,-57.677,-171.7,1046.234,-33.413,-91.416,1029.171,-33.671,-186.122,820.89,-19.991,-192.919,823.881,60.379,-197.175,922.072,-8.531,-201.387,769.274,52.115,-185.469,743.336,-10.379,144.464,961.276,145.652,3.71,960.942,187.378,147.869,966.63,-40.548,-93.615,977.938,104.47,43.832,975.044,-65.528,-43.0,983.104,-67.14,178.081,630.048,133.056,202.077,452.565,64.09,92.923,419.773,77.902,224.956,322.646,-9.68,222.64,70.112,1.81,189.908,7.19,-59.922,254.838,34.144,151.22,153.879,36.536,130.002,214.84,44.556,184.22,-130.884,630.76,-14.152,-126.042,459.301,51.41,-29.104,444.054,80.266,-120.035,270.467,57.84,-118.917,68.254,-11.581,-48.692,9.31,-55.075,-175.15,42.358,141.424,-96.802,55.078,143.813,-130.626,42.382,194.686
3.868,1599.19,244.749,88.741,1535.717,248.873,130.799,1564.2,144.547,-61.885,1542.491,174.689,-13.817,1561.604,81.097,66.362,1401.045,-11.473,72.347,1180.663,-75.617,42.05,1300.876,141.326,25.198,1136.496,166.262,166.987,1298.825,139.803,195.454,1333.514,-32.264,277.084,1143.593,6.418,273.725,1041.588,27.679,197.553,1038.799,8.704,267.389,823.743,55.523,221.676,829.29,126.459,271.818,905.2,54.358,246.48,743.965,128.224,262.617,742.654,68.726,-89.105,1309.721,89.666,-43.276,1333.559,-76.295,-152.517,1170.359,-57.325,-170.891,1045.531,-33.124,-90.61,1028.974,-33.467,-183.718,820.035,-19.853,-189.603,822.959,60.907,-195.091,920.972,-8.107,-196.198,767.494,52.324,-181.852,742.951,-10.357,143.984,961.293,144.909,3.431,960.789,187.336,146.977,966.558,-41.207,-94.072,977.951,104.669,42.934,974.998,-65.853,-43.841,983.149,-67.689,177.825,630.371,133.08,201.771,452.729,64.065,92.596,419.702,78.021,224.607,322.694,-9.663,222.562,70.153,1.745,189.913,7.183,-59.95,254.695,34.387,151.154,153.817,36.562,130.013,214.706,44.833,184.181,-131.156,630.343,-13.521,-126.306,459.176,52.573,-29.303,444.046,80.925,-119.961,270.197,58.526,-118.893,68.258,-11.645,-48.685,9.265,-55.17,-174.785,43.07,141.272,-96.356,55.415,143.877,-130.266,42.783,194.7
4.456,1597.418,247.7,89.665,1534.358,250.107,130.326,1563.971,145.543,-61.865,1540.975,177.961,-15.077,1561.16,83.943,65.226,1401.132,-10.739,71.326,1180.876,-75.543,41.552,1300.559,141.863,24.924,1136.228,166.4,166.479,1298.62,139.938,194.448,1333.622,-32.112,277.671,1144.422,5.617,275.687,1041.953,27.364,199.286,1038.826,7.564,270.178,824.434,57.553,222.946,830.008,127.553,274.302,905.662,55.359,248.937,745.371,131.266,266.603,743.339,71.647,-89.765,1309.305,90.659,-44.634,1333.858,-75.322,-153.105,1170.316,-56.889,-170.895,1045.398,-33.247,-90.651,1028.991,-33.57,-182.938,819.777,-19.673,-189.922,822.614,60.875,-194.727,920.72,-8.145,-195.258,766.693,51.737,-180.474,743.085,-10.818,143.388,961.213,144.08,3.115,960.618,187.339,146.156,966.639,-41.569,-94.429,977.967,104.703,42.15,975.079,-66.276,-44.626,983.122,-68.096,177.775,630.632,132.623,201.57,452.749,64.156,92.263,419.66,78.093,224.229,322.773,-9.647,222.493,70.228,1.671,189.933,7.154,-60.011,254.489,34.818,151.117,153.693,36.574,130.001,214.538,45.202,184.11,-131.613,630.002,-13.083,-126.534,458.985,53.756,-29.53,444.049,81.596,-119.913,269.904,59.188,-118.853,68.276,-11.723,-48.686,9.217,-55.285,-174.499,43.781,141.066,-96.038,55.794,143.864,-129.957,43.212,194.648
5.016,1595.715,250.669,90.535,1533.041,251.423,129.861,1563.715,146.69,-61.874,1539.55,181.227,-16.347,1560.761,86.826,63.967,1401.222,-9.936,70.291,1181.104,-75.406,41.086,1300.209,142.487,24.546,1135.944,166.709,165.959,1298.43,140.096,193.327,1333.688,-31.953,278.523,1145.345,5.113,278.424,1042.43,27.521,202.497,1038.889,5.743,273.827,825.087,59.982,224.75,831.011,128.624,277.55,906.338,56.791,250.87,746.716,134.32,270.635,744.026,75.067,-90.454,1308.841,91.729,-46.05,1334.117,-74.24,-153.988,1170.488,-56.467,-171.886,1045.756,-33.748,-91.685,1029.144,-33.952,-184.104,819.908,-19.669,-192.365,822.689,60.523,-196.424,921.176,-8.545,-197.365,766.854,51.333,-181.678,743.262,-11.188,142.815,961.043,143.488,2.78,960.45,187.349,145.484,966.82,-41.755,-94.704,977.943,104.726,41.484,975.161,-66.614,-45.333,983.117,-68.197,177.916,631.05,132.304,201.406,452.76,64.304,92.016,419.715,78.162,223.919,322.84,-9.646,222.392,70.301,1.609,189.915,7.137,-60.044,254.246,35.329,151.03,153.524,36.621,129.953,214.306,45.69,184.041,-132.004,629.82,-12.68,-126.717,458.802,54.909,-29.715,444.023,82.291,-119.859,269.634,59.853,-118.833,68.31,-11.854,-48.706,9.191,-55.399,-174.489,44.814,140.957,-95.75,56.306,143.889,-129.5,43.601,194.374
5.532,1594.085,253.608,91.318,1531.802,252.848,129.418,1563.463,148.016,-61.913,1538.204,184.451,-17.591,1560.363,89.768,62.76,1401.294,-9.019,69.262,1181.299,-75.139,40.59,1299.872,143.141,24.128,1135.611,166.874,165.422,1298.249,140.259,192.151,1333.678,-31.741,279.677,1146.306,4.922,281.672,1043.045,27.977,206.254,1038.826,4.149,278.131,825.751,62.834,226.699,832.202,129.586,281.215,907.167,58.709,252.393,748.152,137.45,274.216,744.655,79.021,-91.064,1308.376,92.839,-47.438,1334.347,-73.084,-155.197,1170.954,-55.989,-173.783,1046.218,-34.236,-93.539,1029.373,-34.312,-187.134,820.171,-19.798,-195.833,823.125,60.315,-199.342,921.725,-9.2,-201.714,767.609,51.426,-185.122,743.192,-10.771,142.409,960.828,143.071,2.471,960.208,187.29,144.9,967.087,-41.738,-95.051,977.785,104.696,40.818,975.318,-66.697,-46.015,983.16,-68.038,177.623,631.208,131.325,201.219,452.878,64.333,91.758,419.742,78.185,223.714,322.894,-9.563,222.325,70.367,1.534,189.922,7.079,-60.042,253.943,35.888,150.922,153.329,36.714,129.912,214.031,46.248,183.919,-132.401,630.013,-11.866,-126.849,458.765,55.957,-29.847,444.012,82.993,-119.791,269.391,60.473,-118.832,68.382,-11.966,-48.727,9.137,-55.43,-174.196,45.672,140.833,-95.373,56.817,143.949,-129.209,44.117,194.368
5.968,1592.521,256.526,92.054,1530.594,254.33,128.896,1563.396,149.415,-62.004,1536.901,187.721,-18.845,1559.974,92.702,61.582,1401.356,-8.023,68.271,1181.486,-74.873,40.087,1299.493,143.879,23.727,1135.222,166.979,164.929,1298.071,140.44,190.956,1333.648,-31.458,281.028,1147.274,4.987,285.226,1043.772,28.71,212.284,1038.897,0.422,282.732,826.366,66.078,228.72,833.473,130.582,285.011,908.068,60.918,253.899,749.6,140.671,277.948,745.168,83.312,-91.641,1307.916,93.924,-48.741,1334.511,-71.853,-156.884,1171.572,-55.37,-176.484,1046.751,-34.413,-96.158,1029.581,-34.543,-191.545,820.686,-19.76,-199.871,823.788,60.317,-202.903,922.251,-9.478,-207.241,768.713,51.83,-190.196,743.302,-10.148,142.06,960.502,142.753,2.204,959.914,187.168,144.373,967.378,-41.717,-95.485,977.496,104.748,40.183,975.554,-66.712,-46.701,983.227,-67.679,177.782,631.405,130.754,201.009,453.052,64.229,91.507,419.737,78.207,223.583,322.921,-9.446,222.252,70.436,1.502,189.949,7.039,-60.048,253.676,36.519,150.88,153.165,36.839,129.806,213.783,46.868,183.812,-133.386,629.914,-10.96,-127.01,458.881,56.892,-29.903,444.0,83.702,-119.724,269.188,61.091,-118.867,68.471,-11.991,-48.752,9.092,-55.446,-173.736,46.564,140.774,-94.862,57.23,144.022,-128.73,44.571,194.488
6.388,1590.974,259.45,92.677,1529.413,255.906,128.297,1563.146,150.893,-62.126,1535.603,190.966,-20.046,1559.51,95.697,60.461,1401.414,-6.952,67.317,1181.677,-74.545,39.594,1299.082,144.657,23.356,1134.748,167.134,164.423,1297.868,140.706,189.798,1333.612,-31.042,282.571,1148.279,5.266,288.933,1044.588,29.724,214.915,1038.407,1.571,287.488,827.107,69.577,230.849,834.851,131.764,288.797,909.017,63.414,255.588,751.013,143.83,281.93,745.939,87.672,-92.216,1307.531,95.096,-49.996,1334.688,-70.54,-159.019,1172.258,-54.551,-179.815,1047.416,-34.313,-99.379,1029.867,-34.616,-197.005,821.493,-19.729,-204.34,824.698,60.527,-206.985,922.977,-9.413,-213.194,770.01,52.322,-196.516,743.853,-9.662,141.877,960.13,142.567,1.99,959.522,186.899,143.816,967.71,-41.774,-96.049,977.101,104.902,39.448,975.849,-66.723,-47.499,983.314,-67.194,177.989,631.57,130.247,200.804,453.213,64.074,91.315,419.737,78.338,223.516,322.945,-9.311,222.232,70.517,1.468,189.974,7.007,-60.048,253.434,37.126,150.83,152.992,36.987,129.738,213.549,47.548,183.706,-133.918,629.566,-10.285,-127.145,458.856,57.804,-29.928,444.059,84.373,-119.667,269.06,61.654,-118.866,68.54,-11.999,-48.765,9.076,-55.441,-173.201,47.368,140.807,-94.247,57.572,144.215,-128.102,44.947,194.675
6.725,1589.432,262.375,93.231,1528.284,257.545,127.312,1562.774,152.209,-62.251,1534.257,194.214,-21.243,1559.008,98.669,59.422,1401.437,-5.771,66.369,1181.88,-74.144,39.111,1298.683,145.495,23.029,1134.214,167.376,163.904,1297.595,141.081,188.748,1333.645,-30.474,284.296,1149.355,5.701,292.726,1045.487,30.983,219.244,1038.173,1.365,292.445,827.998,73.117,233.216,836.223,133.015,292.964,910.063,65.928,257.452,752.398,146.781,286.351,746.89,92.142,-92.803,1307.216,96.339,-51.259,1334.863,-69.161,-161.442,1173.092,-53.532,-183.518,1048.253,-33.982,-103.042,1030.261,-34.566,-203.264,822.584,-19.698,-209.331,825.777,60.869,-211.604,923.983,-9.022,-219.642,771.404,52.76,-203.928,744.749,-9.41,141.759,959.715,142.361,1.896,959.106,186.62,143.179,968.096,-42.015,-96.666,976.675,105.232,38.623,976.184,-66.746,-48.415,983.513,-66.653,178.031,631.649,129.678,200.634,453.373,63.877,91.784,419.704,77.413,223.478,323.033,-9.131,222.235,70.598,1.432,189.999,6.978,-60.019,253.207,37.702,150.751,152.872,37.183,129.708,213.385,48.2,183.564,-134.883,629.251,-9.674,-127.39,458.602,58.721,-29.986,444.122,84.863,-119.631,268.938,62.118,-118.884,68.606,-12.056,-48.801,9.052,-55.485,-172.714,48.067,140.842,-93.743,57.86,144.233,-127.512,45.338,194.76
