X,Y,Z,X.1,Y.1,Z.1,X.2,Y.2,Z.2,X.3,Y.3,Z.3,X.4,Y.4,Z.4,X.5,Y.5,Z.5,X.6,Y.6,Z.6,X.7,Y.7,Z.7,X.8,Y.8,Z.8,X.9,Y.9,Z.9,X.10,Y.10,Z.10,X.11,Y.11,Z.11,X.12,Y.12,Z.12,X.13,Y.13,Z.13,X.14,Y.14,Z.14,X.15,Y.15,Z.15,X.16,Y.16,Z.16,X.17,Y.17,Z.17,X.18,Y.18,Z.18,X.19,Y.19,Z.19,X.20,Y.20,Z.20,X.21,Y.21,Z.21,X.22,Y.22,Z.22,X.23,Y.23,Z.23,X.24,Y.24,Z.24,X.25,Y.25,Z.25
1623.648,2562.207,-54.364,1561.032,2728.98,-40.189,1562.895,2633.81,161.775,1184.764,2692.918,14.575,1133.353,2568.54,2.951,1323.044,2417.342,114.949,1028.551,2476.519,135.858,880.392,2595.647,-50.192,936.44,2618.741,-114.101,831.654,2813.456,90.135,1348.063,2848.627,308.684,1139.02,2820.724,363.983,913.522,2927.936,237.237,1016.574,2958.958,231.46,844.526,0.0,0.0,960.324,2569.05,207.94,982.523,2669.591,244.278,995.28,2596.972,78.486,446.032,2707.448,188.765,351.912,2598.011,408.311,123.223,2630.286,317.281,42.158,2697.756,281.603,638.126,2884.357,56.574,462.429,2878.136,108.465,144.102,2791.715,297.047,80.724,2850.494,102.185
1627.623,2566.004,-65.609,1565.164,2732.78,-52.011,1566.692,2637.846,149.644,1189.142,2696.818,2.438,1138.007,2572.596,-9.466,1327.465,2421.934,102.0,1032.494,2481.556,123.054,889.299,2606.138,-62.345,943.817,2631.873,-126.632,842.536,2817.505,77.836,1352.649,2851.848,297.336,1146.788,2823.677,354.19,920.731,2932.571,230.872,1023.911,2963.582,225.97,851.271,0.0,0.0,964.832,2573.416,195.576,987.065,2674.036,231.685,999.884,2598.627,69.046,450.626,2708.229,179.86,357.741,2598.177,402.788,131.185,2630.12,315.697,44.251,2697.641,280.276,642.389,2885.786,43.926,467.083,2881.931,87.422,139.111,2799.815,268.192,81.598,2854.581,69.548
1631.207,2569.835,-77.109,1568.642,2736.64,-63.792,1569.912,2641.871,138.406,1193.003,2700.742,-9.937,1142.09,2576.564,-21.762,1331.393,2426.444,89.144,1036.549,2486.377,110.287,897.906,2616.169,-74.359,950.76,2644.422,-138.948,853.142,2821.525,65.458,1356.694,2855.175,285.642,1153.976,2826.853,343.996,927.467,2937.265,223.866,1030.804,2968.261,219.76,857.573,0.0,0.0,968.831,2577.705,183.276,991.091,2678.384,219.134,1004.212,2600.582,59.275,454.69,2709.296,170.561,363.168,2598.313,397.094,139.06,2630.156,313.956,46.627,2697.726,279.258,646.174,2887.33,31.467,471.141,2885.444,66.572,134.658,2807.084,238.676,82.151,2857.725,37.374
1634.278,2573.612,-88.228,1571.503,2740.441,-75.51,1572.542,2645.966,126.234,1196.265,2704.6,-22.283,1145.516,2580.44,-34.074,1334.77,2430.827,76.454,1040.001,2490.934,97.447,905.989,2625.693,-86.197,957.226,2656.357,-151.105,863.325,2825.503,52.948,1358.441,2858.655,273.735,1160.492,2830.209,333.698,933.469,2942.034,216.297,1037.101,2973.205,212.687,863.297,0.0,0.0,972.227,2581.884,171.122,994.522,2682.646,206.583,1007.429,2602.897,49.089,458.173,2710.381,160.785,368.16,2598.432,391.283,146.956,2630.238,312.185,49.383,2697.259,277.4,649.478,2889.045,19.195,474.584,2888.67,45.989,130.303,2813.491,209.25,83.31,2860.03,5.292
1636.884,2577.346,-99.153,1573.77,2744.226,-87.198,1574.548,2650.114,114.057,1198.901,2708.348,-34.616,1148.238,2584.24,-46.252,1337.578,2435.116,63.845,1042.884,2495.397,84.845,913.579,2634.579,-97.858,963.134,2667.661,-163.071,872.912,2829.417,40.342,1360.906,2862.414,261.652,1166.186,2833.769,323.099,938.901,2946.885,208.127,1042.622,2977.905,205.225,868.381,0.0,0.0,975.096,2586.004,159.008,997.326,2686.849,194.073,1010.255,2605.48,38.578,461.013,2711.781,150.497,372.74,2598.511,385.451,154.867,2630.276,310.371,52.671,2696.528,274.142,652.229,2890.928,7.133,477.313,2891.547,25.72,126.349,2819.162,180.167,84.585,2861.536,-25.269
1638.976,2581.09,-110.11,1575.404,2747.977,-98.855,1575.957,2654.297,101.851,1200.883,2712.003,-46.741,1150.219,2587.952,-58.36,1339.658,2439.242,51.328,1045.069,2499.706,72.35,920.538,0.0,0.0,968.397,2678.357,-174.801,882.112,2833.346,27.578,1362.713,2866.336,249.446,1171.017,2837.686,312.473,943.456,2951.83,199.355,1047.294,2982.904,196.941,872.64,0.0,0.0,977.126,2590.101,147.012,999.42,2691.083,181.679,1012.405,2608.309,27.577,463.217,2713.416,139.6,376.897,2598.564,379.477,162.837,2630.128,308.74,56.312,2696.251,271.913,654.353,2892.892,-4.913,479.257,2894.171,5.907,122.708,2823.958,151.778,85.798,2863.479,-53.409
1640.521,2584.799,-121.212,1576.466,2751.689,-110.42,1576.745,2658.476,89.654,1202.163,2715.604,-59.104,1151.474,2591.518,-70.277,1341.042,2443.322,38.943,1046.607,2504.0,59.895,926.742,2658.415,-121.67,972.986,2688.294,-186.358,890.549,2837.194,14.817,1363.786,2870.563,237.095,1174.896,2841.918,301.547,947.122,2956.912,190.043,1051.034,2987.995,188.011,876.128,0.0,0.0,978.44,2594.264,135.161,1000.778,2695.38,169.393,1013.835,2611.354,16.062,464.72,2715.367,128.029,380.718,2598.654,373.471,170.843,2629.986,306.945,60.338,2696.193,269.991,655.787,2895.048,-17.054,480.475,2896.667,-13.397,119.391,2827.985,124.239,86.209,2864.296,-81.58
1641.506,2588.357,-131.982,1576.854,2755.402,-121.927,1576.912,2662.736,77.483,1202.782,2719.153,-71.388,1152.017,2595.108,-82.265,1341.721,2447.318,26.654,1047.454,2508.268,47.718,932.142,2663.12,-133.642,976.797,2697.511,-197.702,898.314,2841.042,1.936,1364.211,2875.107,224.583,1177.764,2846.508,290.334,949.824,2962.094,180.099,1053.803,2993.236,178.443,878.672,0.0,0.0,979.053,2598.516,123.384,1001.425,2699.773,157.108,1014.5,2614.522,4.069,465.424,2717.659,115.783,384.096,2598.716,367.068,178.833,2629.344,304.587,64.51,2695.58,267.884,656.384,2897.521,-29.426,480.963,2899.074,-31.765,116.37,2831.358,97.832,87.319,2865.933,-107.581
1641.842,2591.995,-142.984,1576.552,2759.061,-133.312,1576.375,2666.986,65.384,1202.632,0.0,0.0,1151.833,2598.561,-93.983,1341.59,2451.267,14.669,1047.581,2512.477,35.752,936.632,2664.408,-143.349,979.799,2705.946,-208.893,905.094,2844.873,-10.929,1363.955,2879.892,211.847,1179.607,2851.491,278.949,951.554,2967.4,169.526,1055.573,2998.578,168.171,880.271,0.0,0.0,978.974,2602.888,111.701,1001.3,2704.29,144.953,1014.397,2617.877,-8.373,465.347,2720.24,102.824,387.021,2598.877,360.411,186.726,2629.622,302.824,68.923,2694.836,265.662,656.161,2900.088,-41.985,480.729,2901.374,-49.207,113.649,2834.314,73.013,89.725,2867.201,-131.251
1641.495,2595.552,-153.833,1575.594,2762.689,-144.64,1575.182,2671.224,53.353,1201.714,0.0,0.0,1150.956,2602.025,-105.704,1340.722,2455.187,2.756,1047.018,2516.643,23.787,940.204,2670.256,-154.353,981.836,2713.593,-220.067,910.892,2848.706,-23.789,1362.914,2884.999,199.012,1180.374,2856.8,267.269,952.234,2972.813,158.323,1056.282,3004.0,157.167,880.877,0.0,0.0,978.191,2607.34,100.147,1000.461,2708.895,132.827,1013.39,2621.374,-21.144,464.403,2723.06,89.197,389.471,2599.135,353.55,194.496,2629.515,300.097,73.223,2693.756,265.179,655.163,2902.559,-54.624,479.983,2903.761,-65.813,111.057,2836.927,49.886,91.21,2870.027,-153.256
