
Frames	Subject0005:ARIEL X	Subject0005:ARIEL Y	Subject0005:ARIEL Z		Subject0005:LFHD X	Subject0005:LFHD Y	Subject0005:LFHD Z		Subject0005:LBHD X	Subject0005:LBHD Y	Subject0005:LBHD Z		Subject0005:RFHD X	Subject0005:RFHD Y	Subject0005:RFHD Z		Subject0005:RBHD X	Subject0005:RBHD Y	Subject0005:RBHD Z		Subject0005:C7 X	Subject0005:C7 Y	Subject0005:C7 Z		Subject0005:T10 X	Subject0005:T10 Y	Subject0005:T10 Z		Subject0005:CLAV X	Subject0005:CLAV Y	Subject0005:CLAV Z		Subject0005:STRN X	Subject0005:STRN Y	Subject0005:STRN Z		Subject0005:LFSH X	Subject0005:LFSH Y	Subject0005:LFSH Z		Subject0005:LBSH X	Subject0005:LBSH Y	Subject0005:LBSH Z		Subject0005:LUPA X	Subject0005:LUPA Y	Subject0005:LUPA Z		Subject0005:LELB X	Subject0005:LELB Y	Subject0005:LELB Z		Subject0005:LIEL X	Subject0005:LIEL Y	Subject0005:LIEL Z		Subject0005:LOWR X	Subject0005:LOWR Y	Subject0005:LOWR Z		Subject0005:LIWR X	Subject0005:LIWR Y	Subject0005:LIWR Z		Subject0005:LWRE X	Subject0005:LWRE Y	Subject0005:LWRE Z		Subject0005:LIHAND X	Subject0005:LIHAND Y	Subject0005:LIHAND Z		Subject0005:LOHAND X	Subject0005:LOHAND Y	Subject0005:LOHAND Z		Subject0005:RFSH X	Subject0005:RFSH Y	Subject0005:RFSH Z		Subject0005:RBSH X	Subject0005:RBSH Y	Subject0005:RBSH Z		Subject0005:RUPA X	Subject0005:RUPA Y	Subject0005:RUPA Z		Subject0005:RELB X	Subject0005:RELB Y	Subject0005:RELB Z		Subject0005:RIEL X	Subject0005:RIEL Y	Subject0005:RIEL Z		Subject0005:ROWR X	Subject0005:ROWR Y	Subject0005:ROWR Z		Subject0005:RIWR X	Subject0005:RIWR Y	Subject0005:RIWR Z		Subject0005:RWRE X	Subject0005:RWRE Y	Subject0005:RWRE Z		Subject0005:RIHAND X	Subject0005:RIHAND Y	Subject0005:RIHAND Z		Subject0005:ROHAND X	Subject0005:ROHAND Y	Subject0005:ROHAND Z		Subject0005:LFWT X	Subject0005:LFWT Y	Subject0005:LFWT Z		Subject0005:LMWT X	Subject0005:LMWT Y	Subject0005:LMWT Z		Subject0005:LBWT X	Subject0005:LBWT Y	Subject0005:LBWT Z		Subject0005:RFWT X	Subject0005:RFWT Y	Subject0005:RFWT Z		Subject0005:RMWT X	Subject0005:RMWT Y	Subject0005:RMWT Z		Subject0005:RBWT X	Subject0005:RBWT Y	Subject0005:RBWT Z		Subject0005:LHIP X	Subject0005:LHIP Y	Subject0005:LHIP Z		Subject0005:LKNE X	Subject0005:LKNE Y	Subject0005:LKNE Z		Subject0005:LKNI X	Subject0005:LKNI Y	Subject0005:LKNI Z		Subject0005:LSHN X	Subject0005:LSHN Y	Subject0005:LSHN Z		Subject0005:LANK X	Subject0005:LANK Y	Subject0005:LANK Z		Subject0005:LHEL X	Subject0005:LHEL Y	Subject0005:LHEL Z		Subject0005:LMT5 X	Subject0005:LMT5 Y	Subject0005:LMT5 Z		Subject0005:LMT1 X	Subject0005:LMT1 Y	Subject0005:LMT1 Z		Subject0005:LTOE X	Subject0005:LTOE Y	Subject0005:LTOE Z		Subject0005:RHIP X	Subject0005:RHIP Y	Subject0005:RHIP Z		Subject0005:RKNE X	Subject0005:RKNE Y	Subject0005:RKNE Z		Subject0005:RKNI X	Subject0005:RKNI Y	Subject0005:RKNI Z		Subject0005:RSHN X	Subject0005:RSHN Y	Subject0005:RSHN Z		Subject0005:RANK X	Subject0005:RANK Y	Subject0005:RANK Z		Subject0005:RHEL X	Subject0005:RHEL Y	Subject0005:RHEL Z		Subject0005:RMT5 X	Subject0005:RMT5 Y	Subject0005:RMT5 Z		Subject0005:RMT1 X	Subject0005:RMT1 Y	Subject0005:RMT1 Z		Subject0005:RTOE X	Subject0005:RTOE Y	Subject0005:RTOE Z	
   1	    -115.130	    1587.684	     397.197		     -26.604	    1530.858	     381.309		     -10.816	    1565.007	     271.576		    -189.748	    1527.249	     340.540		    -164.919	    1551.857	     240.322		     -81.015	    1393.754	     123.890		     -74.843	    1168.466	      65.527		     -93.403	    1299.856	     278.726		    -108.175	    1137.827	     306.751		      27.968	    1296.556	     269.917		      52.260	    1321.736	     105.562		     164.578	    1142.600	     176.784		     198.284	    1050.026	     234.649		     121.226	    1034.402	     238.888		     175.210	    1029.699	     463.129		     215.400	    1102.638	     452.803		     201.290	    1035.158	     379.005		     223.529	    1087.198	     542.331		     176.848	    1047.657	     548.174		    -224.348	    1304.238	     239.913		    -201.611	    1320.628	      76.406		    -353.304	    1185.921	     136.975		    -425.339	    1095.685	     196.357		    -362.507	    1042.898	     206.955		    -470.165	    1061.670	     420.875		    -471.665	    1144.073	     419.305		    -467.091	    1089.411	     320.412		    -500.695	    1132.243	     466.017		    -491.771	    1067.741	     498.154		      12.804	     964.502	     298.450		    -124.951	     966.624	     339.512		       6.918	     956.598	     117.389		    -228.418	     971.112	     263.804		     -97.924	     964.753	      91.805		    -185.107	     971.031	      93.288		      19.763	     642.925	     350.791		      26.283	     458.065	     315.736		     -83.430	     432.375	     319.424		      52.171	     333.918	     238.500		      38.144	      77.713	     224.086		      26.242	      18.311	     165.694		      33.326	      53.687	     375.781		     -54.828	      39.996	     340.179		     -24.280	      55.551	     386.074		    -250.832	     620.532	     163.642		    -234.546	     449.255	     231.096		    -136.439	     442.161	     258.329		    -210.434	     262.442	     239.803		    -195.191	      79.298	     196.852		    -147.914	      40.554	     116.834		    -222.625	      60.037	     306.579		    -161.163	      39.916	     339.883		    -205.797	      64.039	     347.747	
   2	    -116.021	    1587.970	     396.352		     -27.504	    1531.116	     380.578		     -11.651	    1565.176	     270.846		    -190.620	    1527.493	     339.737		    -165.740	    1552.049	     239.494		     -81.855	    1393.817	     123.191		     -75.835	    1168.425	      65.162		     -94.401	    1300.144	     278.059		    -109.366	    1138.148	     306.205		      26.889	    1296.742	     269.364		      51.361	    1321.686	     105.047		     163.621	    1142.513	     177.414		     197.170	    1050.201	     235.835		     120.119	    1034.494	     239.874		     173.911	    1029.996	     464.175		     213.955	    1103.047	     453.999		     200.007	    1035.492	     380.222		     222.482	    1087.213	     543.402		     175.761	    1047.646	     549.291		    -225.275	    1304.675	     239.352		    -202.560	    1320.712	      75.769		    -354.315	    1186.146	     137.072		    -426.008	    1095.821	     197.019		    -362.955	    1043.206	     207.384		    -470.195	    1061.020	     421.509		    -472.004	    1143.433	     420.297		    -467.485	    1089.057	     321.179		    -500.922	    1131.224	     467.051		    -491.627	    1066.586	     498.842		      11.719	     965.082	     298.354		    -126.048	     967.030	     339.281		       6.088	     956.780	     117.372		    -229.600	     971.169	     263.651		     -98.763	     964.745	      91.708		    -185.941	     970.849	      93.224		      18.578	     643.688	     350.514		      25.453	     458.551	     316.651		     -84.284	     432.928	     320.416		      50.950	     334.726	     238.549		      36.693	      78.610	     223.049		      24.438	      19.212	     164.617		      32.466	      54.460	     374.767		     -55.668	      40.516	     338.944		     -25.224	      56.154	     385.273		    -250.723	     620.118	     164.047		    -234.671	     448.971	     231.170		    -136.374	     442.015	     258.169		    -210.236	     262.297	     239.956		    -195.076	      79.218	     197.045		    -147.817	      40.681	     116.992		    -222.327	      59.907	     306.866		    -160.973	      39.531	     340.203		    -205.462	      63.408	     347.823	
   3	    -116.771	    1588.282	     395.425		     -28.289	    1531.443	     379.813		     -12.392	    1565.387	     270.040		    -191.443	    1527.836	     338.901		    -166.466	    1552.287	     238.675		     -82.659	    1393.947	     122.468		     -76.825	    1168.402	      64.813		     -95.367	    1300.489	     277.463		    -110.538	    1138.492	     305.696		      25.865	    1296.977	     268.816		      50.502	    1321.629	     104.531		     162.649	    1142.404	     177.971		     195.993	    1050.319	     236.924		     118.932	    1034.657	     240.792		     172.407	    1030.077	     465.182		     212.531	    1103.104	     455.182		     198.549	    1035.529	     381.313		     221.278	    1086.786	     544.428		     174.461	    1047.293	     550.237		    -226.211	    1305.139	     238.837		    -203.510	    1320.849	      75.131		    -355.265	    1186.362	     137.189		    -426.261	    1095.802	     197.821		    -363.279	    1043.414	     207.724		    -470.088	    1060.062	     422.057		    -472.444	    1142.508	     421.253		    -467.766	    1088.506	     321.789		    -501.107	    1129.797	     468.069		    -491.334	    1065.052	     499.437		      10.676	     965.674	     298.312		    -127.113	     967.462	     339.129		       5.311	     957.021	     117.414		    -230.711	     971.258	     263.544		     -99.532	     964.710	      91.760		    -186.712	     970.670	      93.202		      17.516	     644.430	     350.725		      24.734	     459.032	     317.507		     -85.132	     433.479	     321.422		      49.676	     335.569	     238.536		      35.141	      79.541	     221.782		      22.559	      20.182	     163.320		      31.424	      55.231	     373.537		     -56.824	      41.354	     337.931		     -26.372	      56.813	     384.245		    -251.044	     619.942	     164.103		    -234.591	     448.796	     231.077		    -136.240	     441.845	     257.940		    -210.047	     262.201	     240.064		    -194.988	      79.168	     197.246		    -147.741	      40.760	     117.116		    -222.001	      59.816	     307.087		    -160.802	      39.189	     340.461		    -205.139	      63.085	     348.092	
   4	    -117.432	    1588.759	     394.625		     -28.964	    1531.751	     379.026		     -13.033	    1565.567	     269.212		    -192.100	    1528.276	     338.147		    -167.129	    1552.574	     237.856		     -83.468	    1394.030	     121.765		     -77.738	    1168.365	      64.523		     -96.296	    1300.833	     276.866		    -111.619	    1138.857	     305.243		      24.885	    1297.230	     268.316		      49.705	    1321.590	     104.041		     161.691	    1142.305	     178.479		     194.743	    1050.378	     237.887		     117.604	    1034.945	     241.598		     170.800	    1029.826	     466.018		     211.102	    1102.810	     456.295		     197.071	    1035.361	     382.245		     220.034	    1085.932	     545.367		     173.081	    1046.555	     551.060		    -227.052	    1305.632	     238.375		    -204.418	    1320.947	      74.609		    -356.141	    1186.534	     137.277		    -426.605	    1095.727	     198.406		    -363.415	    1043.570	     207.959		    -469.899	    1058.730	     422.518		    -472.895	    1141.202	     422.109		    -467.965	    1087.677	     322.340		    -501.314	    1127.978	     469.110		    -490.897	    1063.114	     499.955		       9.735	     966.240	     298.341		    -128.111	     967.868	     339.021		       4.611	     957.274	     117.533		    -231.758	     971.327	     263.475		    -100.256	     964.706	      91.835		    -187.478	     970.484	      93.236		      16.437	     645.083	     351.603		      24.025	     459.526	     318.216		     -85.912	     434.000	     322.387		      48.318	     336.416	     238.380		      33.541	      80.453	     220.356		      20.594	      21.175	     161.791		      30.174	      55.981	     372.098		     -58.135	      42.185	     336.717		     -27.736	      57.489	     383.017		    -251.197	     619.870	     164.115		    -234.395	     448.712	     230.895		    -136.110	     441.769	     257.768		    -209.878	     262.168	     240.103		    -194.873	      79.160	     197.360		    -147.656	      40.847	     117.207		    -221.684	      59.762	     307.253		    -160.607	      38.898	     340.678		    -204.751	      62.836	     348.271	
   5	    -117.937	    1589.222	     393.750		     -29.555	    1532.118	     378.174		     -13.633	    1565.788	     268.316		    -192.687	    1528.751	     337.362		    -167.722	    1552.912	     237.030		     -84.233	    1394.073	     121.079		     -78.644	    1168.321	      64.280		     -97.188	    1301.180	     276.342		    -112.637	    1139.237	     304.847		      23.967	    1297.523	     267.888		      48.935	    1321.532	     103.557		     160.670	    1142.194	     178.886		     193.359	    1050.387	     238.655		     116.183	    1035.295	     242.194		     169.209	    1029.286	     466.644		     209.606	    1102.255	     457.266		     195.495	    1034.966	     382.994		     218.758	    1084.709	     546.174		     171.705	    1045.407	     551.726		    -227.899	    1306.082	     237.908		    -205.290	    1321.040	      74.059		    -356.898	    1186.653	     137.346		    -426.807	    1095.520	     198.872		    -363.429	    1043.633	     208.091		    -469.729	    1057.106	     422.845		    -473.352	    1139.588	     422.962		    -467.849	    1086.303	     322.814		    -501.517	    1125.738	     470.038		    -490.386	    1060.758	     500.375		       8.818	     966.745	     298.442		    -129.045	     968.238	     338.989		       3.924	     957.551	     117.694		    -232.701	     971.421	     263.487		    -100.945	     964.735	      91.960		    -188.154	     970.322	      93.349		      15.365	     645.651	     352.365		      23.269	     460.013	     318.795		     -86.768	     434.503	     323.190		      46.962	     337.238	     238.153		      31.859	      81.317	     218.800		      18.620	      22.159	     160.137		      28.804	      56.647	     370.488		     -59.555	      43.001	     335.332		     -29.043	      58.138	     381.611		    -251.809	     619.788	     163.979		    -234.193	     448.675	     230.712		    -136.088	     441.771	     257.661		    -209.821	     262.186	     240.025		    -194.845	      79.160	     197.413		    -147.581	      40.883	     117.242		    -221.440	      59.707	     307.354		    -160.454	      38.702	     340.826		    -204.493	      62.702	     348.376	
   6	    -118.357	    1589.799	     392.866		     -30.067	    1532.524	     377.298		     -14.137	    1566.014	     267.368		    -193.187	    1529.296	     336.560		    -168.311	    1553.299	     236.218		     -84.987	    1394.163	     120.389		     -79.491	    1168.302	      64.035		     -98.019	    1301.511	     275.803		    -113.563	    1139.580	     304.538		      23.076	    1297.825	     267.451		      48.199	    1321.513	     103.081		     159.633	    1142.070	     179.163		     191.902	    1050.337	     239.296		     114.727	    1035.475	     242.726		     167.658	    1028.647	     467.007		     208.016	    1101.511	     458.191		     193.948	    1034.433	     383.628		     217.502	    1083.156	     546.841		     170.432	    1043.789	     552.111		    -228.623	    1306.497	     237.512		    -206.138	    1321.112	      73.594		    -357.547	    1186.685	     137.374		    -426.879	    1095.167	     199.314		    -363.260	    1043.595	     208.254		    -469.509	    1055.097	     423.053		    -473.794	    1137.617	     423.796		    -468.193	    1085.266	     322.972		    -501.715	    1123.098	     470.912		    -489.880	    1057.998	     500.660		       8.026	     967.254	     298.626		    -129.875	     968.585	     339.067		       3.338	     957.821	     117.890		    -233.549	     971.514	     263.572		    -101.561	     964.795	      92.180		    -188.790	     970.230	      93.517		      14.516	     646.102	     352.860		      22.408	     460.388	     319.234		     -87.708	     435.081	     323.840		      45.573	     337.970	     237.805		      30.165	      82.144	     217.182		      16.621	      23.072	     158.382		      27.397	      57.223	     368.766		     -60.996	      43.660	     333.785		     -30.464	      58.674	     380.068		    -251.802	     619.875	     163.867		    -234.063	     448.682	     230.482		    -136.144	     441.839	     257.588		    -209.883	     262.260	     239.850		    -194.842	      79.132	     197.430		    -147.571	      40.888	     117.246		    -221.256	      59.630	     307.454		    -160.352	      38.540	     340.912		    -204.278	      62.560	     348.452	
   7	    -118.697	    1590.350	     391.945		     -30.477	    1532.965	     376.360		     -14.621	    1566.260	     266.352		    -193.660	    1529.905	     335.775		    -168.809	    1553.696	     235.329		     -85.704	    1394.244	     119.711		     -80.274	    1168.271	      63.884		     -98.790	    1301.857	     275.344		    -114.444	    1139.953	     304.316		      22.230	    1298.103	     267.039		      47.505	    1321.512	     102.604		     158.546	    1141.923	     179.437		     190.351	    1050.262	     239.829		     113.192	    1035.557	     243.142		     166.213	    1027.456	     467.286		     206.271	    1100.574	     459.030		     192.345	    1033.702	     384.053		     216.306	    1081.226	     547.341		     169.390	    1041.633	     552.317		    -229.371	    1306.845	     237.113		    -206.944	    1321.227	      73.036		    -358.123	    1186.636	     137.383		    -426.827	    1094.713	     199.687		    -362.941	    1043.499	     208.303		    -469.223	    1052.753	     423.123		    -474.245	    1135.305	     424.577		    -468.223	    1083.623	     323.415		    -501.950	    1120.021	     471.681		    -489.401	    1054.805	     500.767		       7.316	     967.711	     298.869		    -130.597	     968.898	     339.219		       2.726	     958.065	     118.145		    -234.275	     971.613	     263.698		    -102.135	     964.893	      92.400		    -189.355	     970.223	      93.751		      13.823	     646.492	     353.243		      21.433	     460.688	     319.467		     -88.727	     435.615	     324.286		      44.205	     338.611	     237.355		      28.427	      82.872	     215.503		      14.593	      23.930	     156.560		      25.887	      57.685	     367.022		     -62.525	      44.233	     332.248		     -31.913	      59.132	     378.511		    -251.662	     619.949	     163.780		    -234.077	     448.719	     230.236		    -136.334	     441.913	     257.596		    -210.086	     262.381	     239.583		    -194.859	      79.097	     197.428		    -147.596	      40.913	     117.261		    -221.077	      59.558	     307.520		    -160.270	      38.416	     341.018		    -204.120	      62.397	     348.509	
   8	    -118.981	    1590.963	     390.905		     -30.867	    1533.449	     375.368		     -15.078	    1566.552	     265.293		    -194.041	    1530.521	     334.949		    -169.323	    1554.150	     234.481		     -86.399	    1394.338	     119.069		     -81.021	    1168.253	      63.757		     -99.522	    1302.179	     274.891		    -115.199	    1140.314	     304.116		      21.440	    1298.423	     266.658		      46.862	    1321.557	     102.154		     157.415	    1141.814	     179.568		     188.727	    1050.168	     240.191		     111.507	    1035.576	     243.394		     165.353	    1024.613	     467.224		     204.428	    1099.418	     459.793		     190.665	    1032.769	     384.237		     215.160	    1078.898	     547.685		     168.437	    1038.916	     552.426		    -230.047	    1307.159	     236.690		    -207.678	    1321.213	      72.591		    -358.567	    1186.512	     137.388		    -426.649	    1094.141	     200.052		    -362.502	    1043.330	     208.333		    -468.958	    1050.092	     423.065		    -474.721	    1130.899	     426.366		    -468.156	    1081.784	     323.629		    -502.324	    1116.546	     472.334		    -488.986	    1051.172	     500.706		       6.699	     968.163	     299.177		    -131.178	     969.110	     339.583		       2.189	     958.305	     118.498		    -234.900	     971.723	     263.899		    -102.655	     965.037	      92.678		    -189.906	     970.273	      94.019		      13.175	     646.790	     353.646		      20.393	     460.901	     319.502		     -89.753	     436.046	     324.410		      42.912	     339.136	     236.813		      26.696	      83.489	     213.855		      12.602	      24.661	     154.794		      24.483	      58.135	     365.310		     -64.159	      44.752	     330.630		     -33.456	      59.469	     376.845		    -251.602	     620.076	     163.653		    -234.243	     448.811	     229.928		    -136.644	     442.003	     257.654		    -210.321	     262.482	     239.354		    -194.932	      79.074	     197.383		    -147.628	      40.920	     117.269		    -220.959	      59.523	     307.572		    -160.182	      38.305	     341.132		    -203.985	      62.301	     348.596	
   9	    -119.203	    1591.673	     389.927		     -31.197	    1533.968	     374.354		     -15.472	    1566.849	     264.218		    -194.419	    1531.193	     334.129		    -169.773	    1554.582	     233.585		     -87.076	    1394.411	     118.425		     -81.623	    1168.222	      63.687		    -100.221	    1302.480	     274.392		    -115.875	    1140.705	     304.035		      20.741	    1298.776	     266.242		      46.247	    1321.610	     101.693		     156.253	    1141.714	     179.616		     186.996	    1050.044	     240.414		     109.743	    1035.599	     243.584		     164.233	    1022.747	     467.104		     202.538	    1097.957	     460.502		     188.864	    1031.620	     384.188		     214.131	    1076.116	     547.918		     167.645	    1035.734	     552.299		    -230.707	    1307.423	     236.256		    -208.373	    1321.160	      72.151		    -358.863	    1186.299	     137.333		    -426.354	    1093.488	     200.339		    -361.903	    1043.076	     208.375		    -468.717	    1047.123	     422.869		    -475.347	    1127.731	     427.044		    -468.077	    1079.721	     323.686		    -502.788	    1112.656	     472.858		    -488.740	    1047.142	     500.466		       6.162	     968.631	     299.556		    -131.606	     969.399	     340.164		       1.704	     958.534	     118.934		    -235.394	     971.866	     264.105		    -103.156	     965.173	      93.042		    -190.369	     970.357	      94.320		      12.574	     646.958	     353.943		      19.336	     461.013	     319.365		     -90.708	     436.396	     324.275		      41.668	     339.542	     236.178		      24.994	      83.933	     212.168		      10.639	      25.283	     153.007		      22.826	      58.114	     363.524		     -65.783	      45.171	     329.036		     -35.020	      59.709	     375.195		    -251.538	     620.206	     163.562		    -234.457	     448.928	     229.614		    -136.943	     442.050	     257.722		    -210.528	     262.539	     239.121		    -195.028	      79.073	     197.378		    -147.680	      40.952	     117.260		    -220.857	      59.458	     307.631		    -160.114	      38.198	     341.186		    -203.890	      62.184	     348.660	
  10	    -119.418	    1592.389	     388.834		     -31.465	    1534.551	     373.294		     -15.820	    1567.155	     263.054		    -194.778	    1531.905	     333.265		    -170.193	    1555.019	     232.639		     -87.651	    1394.464	     117.818		     -82.164	    1168.146	      63.677		    -100.884	    1302.835	     273.989		    -116.475	    1141.115	     304.036		      20.084	    1299.178	     265.896		      45.623	    1321.614	     101.285		     155.044	    1141.589	     179.599		     185.201	    1049.921	     240.564		     107.920	    1035.622	     243.630		     163.178	    1020.557	     466.835		     200.692	    1096.094	     461.145		     186.893	    1030.181	     383.916		     213.112	    1072.772	     547.999		     166.968	    1031.843	     551.944		    -231.312	    1307.690	     235.858		    -209.008	    1321.052	      71.788		    -359.068	    1185.987	     137.292		    -425.900	    1092.722	     200.632		    -361.130	    1042.745	     208.358		    -468.592	    1043.719	     422.464		    -476.012	    1124.232	     427.603		    -467.928	    1077.464	     323.688		    -503.322	    1108.372	     473.281		    -488.631	    1042.629	     500.029		       5.662	     969.034	     299.993		    -132.282	     969.649	     340.246		       1.285	     958.783	     119.458		    -235.746	     972.045	     264.476		    -103.556	     965.300	      93.442		    -190.752	     970.412	      94.641		      11.993	     647.013	     354.176		      18.349	     461.052	     318.960		     -91.600	     436.702	     323.987		      40.509	     339.797	     235.416		      23.301	      84.229	     210.530		       8.689	      25.738	     151.234		      21.366	      58.109	     361.820		     -67.463	      45.422	     327.380		     -36.552	      59.723	     373.548		    -251.533	     620.305	     163.514		    -234.727	     449.029	     229.350		    -137.230	     442.062	     257.797		    -210.660	     262.580	     238.970		    -195.116	      79.054	     197.383		    -147.711	      40.959	     117.274		    -220.792	      59.399	     307.715		    -160.070	      38.148	     341.276		    -203.800	      62.108	     348.722	
