
Frames	Subject0005:ARIEL X	Subject0005:ARIEL Y	Subject0005:ARIEL Z		Subject0005:LFHD X	Subject0005:LFHD Y	Subject0005:LFHD Z		Subject0005:LBHD X	Subject0005:LBHD Y	Subject0005:LBHD Z		Subject0005:RFHD X	Subject0005:RFHD Y	Subject0005:RFHD Z		Subject0005:RBHD X	Subject0005:RBHD Y	Subject0005:RBHD Z		Subject0005:C7 X	Subject0005:C7 Y	Subject0005:C7 Z		Subject0005:T10 X	Subject0005:T10 Y	Subject0005:T10 Z		Subject0005:CLAV X	Subject0005:CLAV Y	Subject0005:CLAV Z		Subject0005:STRN X	Subject0005:STRN Y	Subject0005:STRN Z		Subject0005:LFSH X	Subject0005:LFSH Y	Subject0005:LFSH Z		Subject0005:LBSH X	Subject0005:LBSH Y	Subject0005:LBSH Z		Subject0005:LUPA X	Subject0005:LUPA Y	Subject0005:LUPA Z		Subject0005:LELB X	Subject0005:LELB Y	Subject0005:LELB Z		Subject0005:LIEL X	Subject0005:LIEL Y	Subject0005:LIEL Z		Subject0005:LOWR X	Subject0005:LOWR Y	Subject0005:LOWR Z		Subject0005:LIWR X	Subject0005:LIWR Y	Subject0005:LIWR Z		Subject0005:LWRE X	Subject0005:LWRE Y	Subject0005:LWRE Z		Subject0005:LIHAND X	Subject0005:LIHAND Y	Subject0005:LIHAND Z		Subject0005:LOHAND X	Subject0005:LOHAND Y	Subject0005:LOHAND Z		Subject0005:RFSH X	Subject0005:RFSH Y	Subject0005:RFSH Z		Subject0005:RBSH X	Subject0005:RBSH Y	Subject0005:RBSH Z		Subject0005:RUPA X	Subject0005:RUPA Y	Subject0005:RUPA Z		Subject0005:RELB X	Subject0005:RELB Y	Subject0005:RELB Z		Subject0005:RIEL X	Subject0005:RIEL Y	Subject0005:RIEL Z		Subject0005:ROWR X	Subject0005:ROWR Y	Subject0005:ROWR Z		Subject0005:RIWR X	Subject0005:RIWR Y	Subject0005:RIWR Z		Subject0005:RWRE X	Subject0005:RWRE Y	Subject0005:RWRE Z		Subject0005:RIHAND X	Subject0005:RIHAND Y	Subject0005:RIHAND Z		Subject0005:ROHAND X	Subject0005:ROHAND Y	Subject0005:ROHAND Z		Subject0005:LFWT X	Subject0005:LFWT Y	Subject0005:LFWT Z		Subject0005:LMWT X	Subject0005:LMWT Y	Subject0005:LMWT Z		Subject0005:LBWT X	Subject0005:LBWT Y	Subject0005:LBWT Z		Subject0005:RFWT X	Subject0005:RFWT Y	Subject0005:RFWT Z		Subject0005:RMWT X	Subject0005:RMWT Y	Subject0005:RMWT Z		Subject0005:RBWT X	Subject0005:RBWT Y	Subject0005:RBWT Z		Subject0005:LHIP X	Subject0005:LHIP Y	Subject0005:LHIP Z		Subject0005:LKNE X	Subject0005:LKNE Y	Subject0005:LKNE Z		Subject0005:LKNI X	Subject0005:LKNI Y	Subject0005:LKNI Z		Subject0005:LSHN X	Subject0005:LSHN Y	Subject0005:LSHN Z		Subject0005:LANK X	Subject0005:LANK Y	Subject0005:LANK Z		Subject0005:LHEL X	Subject0005:LHEL Y	Subject0005:LHEL Z		Subject0005:LMT5 X	Subject0005:LMT5 Y	Subject0005:LMT5 Z		Subject0005:LMT1 X	Subject0005:LMT1 Y	Subject0005:LMT1 Z		Subject0005:LTOE X	Subject0005:LTOE Y	Subject0005:LTOE Z		Subject0005:RHIP X	Subject0005:RHIP Y	Subject0005:RHIP Z		Subject0005:RKNE X	Subject0005:RKNE Y	Subject0005:RKNE Z		Subject0005:RKNI X	Subject0005:RKNI Y	Subject0005:RKNI Z		Subject0005:RSHN X	Subject0005:RSHN Y	Subject0005:RSHN Z		Subject0005:RANK X	Subject0005:RANK Y	Subject0005:RANK Z		Subject0005:RHEL X	Subject0005:RHEL Y	Subject0005:RHEL Z		Subject0005:RMT5 X	Subject0005:RMT5 Y	Subject0005:RMT5 Z		Subject0005:RMT1 X	Subject0005:RMT1 Y	Subject0005:RMT1 Z		Subject0005:RTOE X	Subject0005:RTOE Y	Subject0005:RTOE Z	
   1	    1436.055	    1663.646	    -215.070		    1518.173	    1602.611	    -188.154		    1526.450	    1546.809	    -289.879		    1352.966	    1590.019	    -210.191		    1370.457	    1532.958	    -299.361		    1429.292	    1396.969	    -327.355		    1440.527	    1178.653	    -393.777		    1436.584	    1294.956	    -169.118		    1431.213	    1127.520	    -150.413		    1557.523	    1300.011	    -195.508		    1557.716	    1336.572	    -363.569		    1676.255	    1172.543	    -354.800		    1699.064	    1068.991	    -343.498		    1626.190	    1055.848	    -368.731		    1735.972	     851.111	    -351.197		    1689.999	     837.653	    -276.915		    1724.569	     932.754	    -337.074		    1726.294	     756.363	    -291.429		    1742.446	     767.222	    -350.170		    1300.408	    1302.096	    -194.590		    1310.510	    1325.206	    -366.306		    1184.100	    1184.405	    -323.336		    1149.718	    1059.517	    -292.129		    1216.203	    1036.777	    -333.534		    1121.948	     835.085	    -270.781		    1155.555	     833.161	    -197.734		    1127.464	     935.648	    -254.977		    1133.071	     781.506	    -200.154		    1112.448	     758.357	    -264.458		    1561.365	     969.151	    -196.591		    1427.994	     955.694	    -142.855		    1546.434	     975.104	    -378.552		    1319.768	     958.531	    -212.950		    1439.996	     972.682	    -393.718		    1352.878	     970.110	    -385.030		    1608.742	     649.190	    -162.437		    1623.756	     463.848	    -195.393		    1517.791	     430.377	    -182.957		    1650.737	     350.708	    -285.032		    1650.191	      97.734	    -342.366		    1624.868	      45.431	    -410.465		    1647.211	      32.593	    -201.890		    1554.611	      42.391	    -238.535		    1599.620	      46.156	    -182.761		    1321.111	     601.596	    -280.884		    1347.247	     444.486	    -182.837		    1446.108	     437.092	    -157.229		    1370.534	     259.570	    -232.264		    1377.389	      97.871	    -365.955		    1435.076	      61.004	    -438.649		    1375.023	      39.865	    -216.565		    1450.230	      49.731	    -235.353		    1431.059	      36.351	    -179.325	
   2	    1433.460	    1651.019	    -213.403		    1515.678	    1589.938	    -186.203		    1523.808	    1533.334	    -287.678		    1350.511	    1577.111	    -207.980		    1367.812	    1519.244	    -296.734		    1427.206	    1382.943	    -326.424		    1438.442	    1163.222	    -391.811		    1433.772	    1279.948	    -166.437		    1428.250	    1112.388	    -147.412		    1554.752	    1284.960	    -193.024		    1555.236	    1321.621	    -361.602		    1673.489	    1157.616	    -351.228		    1696.704	    1054.675	    -340.018		    1624.012	    1040.878	    -365.460		    1734.460	     837.739	    -347.889		    1688.311	     823.985	    -273.695		    1722.663	     918.683	    -333.460		    1725.334	     743.161	    -288.114		    1741.742	     754.167	    -346.780		    1298.048	    1287.669	    -193.909		    1309.163	    1310.680	    -365.450		    1180.536	    1171.624	    -321.661		    1144.295	    1047.141	    -289.263		    1209.893	    1023.380	    -331.242		    1116.081	     823.737	    -265.083		    1150.457	     822.553	    -192.395		    1122.133	     923.700	    -250.230		    1127.169	     771.342	    -193.667		    1105.563	     747.588	    -257.361		    1558.656	     953.680	    -193.836		    1424.877	     940.584	    -140.776		    1544.403	     959.095	    -375.709		    1316.455	     943.203	    -210.520		    1437.422	     956.474	    -391.412		    1349.974	     954.001	    -383.217		    1606.854	     634.116	    -156.316		    1623.509	     450.027	    -189.841		    1516.297	     416.063	    -177.725		    1649.787	     341.088	    -280.309		    1649.603	      90.183	    -344.023		    1625.821	      36.770	    -411.443		    1647.562	      31.796	    -201.396		    1555.064	      42.198	    -237.850		    1602.159	      45.619	    -179.171		    1319.552	     585.933	    -275.045		    1343.464	     429.965	    -175.514		    1442.935	     423.163	    -151.109		    1371.783	     247.541	    -228.021		    1375.475	      91.950	    -367.446		    1431.663	      54.200	    -440.831		    1374.595	      39.291	    -215.964		    1449.827	      49.544	    -235.176		    1431.276	      35.734	    -179.104	
   3	    1430.724	    1640.122	    -211.940		    1513.011	    1579.003	    -184.502		    1521.235	    1521.541	    -285.636		    1347.911	    1565.875	    -205.999		    1365.172	    1507.236	    -294.386		    1424.837	    1371.044	    -325.221		    1436.242	    1149.195	    -390.138		    1430.896	    1265.752	    -163.090		    1425.212	    1097.576	    -144.426		    1551.854	    1270.652	    -191.026		    1552.330	    1308.155	    -359.716		    1670.480	    1144.070	    -347.870		    1694.209	    1041.323	    -336.551		    1621.730	    1026.896	    -362.114		    1732.679	     825.144	    -344.704		    1686.317	     811.134	    -270.588		    1720.575	     905.404	    -329.982		    1724.438	     730.915	    -284.609		    1740.980	     741.955	    -343.325		    1295.401	    1274.275	    -192.701		    1307.442	    1297.755	    -364.450		    1176.469	    1160.079	    -320.569		    1138.514	    1035.829	    -286.897		    1203.199	    1011.102	    -329.562		    1110.239	     813.399	    -259.663		    1145.714	     813.170	    -187.360		    1116.765	     912.803	    -245.901		    1121.609	     762.384	    -187.288		    1098.652	     737.979	    -250.252		    1555.880	     938.519	    -191.196		    1421.511	     925.337	    -138.514		    1542.585	     943.998	    -373.747		    1312.926	     928.003	    -207.944		    1434.465	     940.763	    -389.274		    1346.479	     938.337	    -381.830		    1605.694	     620.430	    -151.871		    1623.573	     437.781	    -185.348		    1515.096	     402.909	    -172.982		    1648.953	     331.303	    -275.615		    1648.710	      85.144	    -345.486		    1626.972	      30.384	    -412.326		    1647.762	      31.640	    -201.319		    1554.716	      41.949	    -238.020		    1602.120	      45.133	    -179.374		    1318.084	     571.049	    -269.478		    1339.957	     416.216	    -168.560		    1440.624	     410.888	    -145.978		    1374.091	     236.802	    -224.248		    1376.585	      87.782	    -368.995		    1431.762	      49.293	    -442.240		    1374.440	      39.074	    -215.752		    1449.473	      49.257	    -235.141		    1431.105	      35.410	    -179.118	
   4	    1427.997	    1631.018	    -210.385		    1510.223	    1569.842	    -182.852		    1518.560	    1512.027	    -283.821		    1345.211	    1556.691	    -204.296		    1362.476	    1497.750	    -292.516		    1422.133	    1361.714	    -323.444		    1433.380	    1137.450	    -388.388		    1427.649	    1253.241	    -159.446		    1422.014	    1084.070	    -141.563		    1548.632	    1257.776	    -189.284		    1549.170	    1297.146	    -357.560		    1667.086	    1132.291	    -344.927		    1691.547	    1029.429	    -333.197		    1619.087	    1014.509	    -358.651		    1730.400	     813.625	    -341.598		    1683.911	     799.376	    -267.542		    1718.145	     893.424	    -326.601		    1723.373	     719.913	    -280.983		    1739.999	     730.934	    -339.742		    1292.388	    1262.581	    -191.404		    1305.050	    1287.379	    -362.907		    1172.113	    1150.108	    -319.702		    1132.425	    1025.970	    -285.092		    1196.421	    1000.432	    -328.408		    1104.664	     804.369	    -254.770		    1141.305	     805.312	    -183.045		    1111.443	     903.222	    -242.330		    1116.357	     755.115	    -181.339		    1091.899	     729.746	    -243.225		    1553.116	     924.748	    -188.295		    1417.736	     910.629	    -135.746		    1539.635	     933.370	    -372.165		    1308.949	     913.565	    -205.000		    1430.308	     927.334	    -387.722		    1342.011	     924.625	    -380.725		    1604.910	     610.805	    -148.264		    1622.573	     427.768	    -181.902		    1513.048	     392.738	    -168.890		    1647.349	     322.814	    -272.683		    1647.319	      81.026	    -347.413		    1626.302	      25.040	    -413.296		    1648.004	      31.871	    -201.547		    1554.324	      41.241	    -238.027		    1601.644	      45.047	    -180.155		    1315.931	     558.480	    -263.747		    1337.027	     404.182	    -162.001		    1439.192	     401.060	    -141.571		    1376.353	     228.188	    -222.093		    1379.305	      85.362	    -370.668		    1436.917	      45.819	    -442.867		    1375.067	      39.398	    -216.366		    1450.415	      48.814	    -235.050		    1430.875	      35.085	    -179.169	
   5	    1425.227	    1623.790	    -208.820		    1507.374	    1562.439	    -181.294		    1515.729	    1504.793	    -282.321		    1342.248	    1549.513	    -202.802		    1359.617	    1490.841	    -291.153		    1419.058	    1354.172	    -320.592		    1429.446	    1129.857	    -386.392		    1423.716	    1244.056	    -156.478		    1418.769	    1074.197	    -138.428		    1544.704	    1247.884	    -187.197		    1546.234	    1288.958	    -354.828		    1663.424	    1122.404	    -342.201		    1688.597	    1019.240	    -329.955		    1615.999	    1004.111	    -355.017		    1727.630	     803.614	    -338.701		    1681.021	     789.299	    -264.590		    1715.216	     883.058	    -323.439		    1722.064	     710.629	    -277.157		    1738.662	     721.464	    -335.986		    1288.674	    1253.777	    -189.930		    1301.627	    1279.711	    -360.776		    1167.629	    1142.254	    -319.257		    1126.412	    1017.978	    -283.990		    1189.866	     991.888	    -327.829		    1099.384	     796.960	    -250.569		    1137.336	     799.280	    -179.442		    1106.369	     895.310	    -239.655		    1111.490	     749.768	    -175.898		    1085.827	     723.054	    -235.956		    1550.265	     913.717	    -185.317		    1413.524	     898.165	    -131.956		    1534.277	     927.404	    -369.445		    1304.684	     901.637	    -201.405		    1425.273	     920.702	    -384.478		    1337.030	     917.154	    -377.719		    1602.902	     604.711	    -146.179		    1620.584	     421.026	    -179.092		    1510.966	     387.014	    -165.659		    1644.654	     317.230	    -271.165		    1644.601	      77.614	    -349.334		    1623.196	      20.991	    -414.380		    1647.817	      31.788	    -202.416		    1553.656	      41.046	    -237.623		    1602.184	      45.066	    -179.920		    1312.888	     549.196	    -258.430		    1335.061	     395.335	    -157.189		    1437.784	     394.850	    -136.852		    1378.160	     222.128	    -220.632		    1385.237	      83.587	    -372.227		    1445.551	      43.650	    -442.379		    1375.971	      39.818	    -217.360		    1451.439	      48.474	    -234.618		    1430.587	      34.750	    -179.112	
   6	    1422.422	    1618.662	    -207.505		    1504.472	    1557.109	    -179.898		    1512.622	    1499.412	    -280.970		    1339.227	    1544.526	    -201.534		    1356.511	    1485.824	    -289.829		    1415.683	    1349.220	    -317.951		    1425.152	    1125.691	    -384.662		    1419.351	    1239.079	    -154.025		    1414.702	    1069.378	    -135.267		    1540.426	    1241.772	    -185.049		    1543.465	    1283.336	    -352.168		    1659.564	    1114.800	    -339.536		    1685.271	    1011.179	    -326.844		    1612.430	     996.067	    -351.285		    1724.239	     795.598	    -335.895		    1677.664	     781.329	    -261.529		    1711.677	     874.854	    -320.509		    1720.349	     703.657	    -273.139		    1736.790	     714.150	    -332.132		    1284.047	    1248.512	    -188.119		    1297.579	    1274.861	    -358.445		    1163.182	    1136.892	    -318.978		    1120.651	    1012.322	    -283.580		    1183.929	     986.031	    -327.554		    1093.579	     791.675	    -247.812		    1133.757	     795.356	    -176.796		    1101.550	     889.583	    -238.053		    1107.115	     746.617	    -171.270		    1079.768	     718.704	    -230.055		    1546.553	     908.727	    -181.832		    1409.641	     890.967	    -128.160		    1529.085	     923.046	    -366.417		    1300.657	     896.202	    -197.176		    1420.096	     917.685	    -380.195		    1331.871	     914.103	    -373.516		    1599.783	     600.804	    -144.171		    1617.808	     417.163	    -177.167		    1509.017	     383.995	    -163.830		    1640.850	     314.290	    -270.036		    1641.548	      76.243	    -350.512		    1619.755	      19.307	    -415.170		    1647.827	      32.018	    -203.150		    1552.965	      40.942	    -237.452		    1602.081	      44.974	    -180.511		    1309.097	     544.660	    -254.661		    1333.794	     390.699	    -154.753		    1435.963	     391.723	    -131.848		    1379.655	     218.781	    -219.839		    1393.240	      83.383	    -373.424		    1455.942	      43.349	    -440.906		    1377.183	      40.428	    -218.677		    1452.740	      47.735	    -234.120		    1430.326	      34.503	    -179.049	
   7	    1419.493	    1616.117	    -206.569		    1501.488	    1554.326	    -178.715		    1509.360	    1496.094	    -279.629		    1336.042	    1542.082	    -200.281		    1353.213	    1482.917	    -288.367		    1411.953	    1346.775	    -315.747		    1420.420	    1123.390	    -382.899		    1414.987	    1237.381	    -151.830		    1409.596	    1068.126	    -132.279		    1536.151	    1239.081	    -182.776		    1540.176	    1280.084	    -349.780		    1655.493	    1109.647	    -336.831		    1681.385	    1005.711	    -323.843		    1608.204	     990.695	    -347.683		    1720.279	     790.187	    -333.049		    1673.823	     776.051	    -258.365		    1707.557	     869.304	    -317.572		    1718.015	     699.352	    -269.083		    1734.192	     709.481	    -328.258		    1279.282	    1246.570	    -186.200		    1293.357	    1272.703	    -356.315		    1158.834	    1134.188	    -318.267		    1115.510	    1009.229	    -283.646		    1178.980	     983.085	    -327.466		    1088.970	     788.518	    -245.624		    1130.484	     793.612	    -175.413		    1097.162	     886.345	    -237.451		    1103.174	     745.862	    -167.667		    1074.349	     716.656	    -225.041		    1541.568	     908.928	    -178.746		    1405.261	     890.987	    -124.569		    1523.702	     920.419	    -363.400		    1296.233	     896.473	    -193.454		    1414.696	     914.743	    -377.418		    1326.556	     911.775	    -369.604		    1596.463	     598.586	    -140.893		    1613.909	     415.733	    -174.714		    1505.928	     382.690	    -160.419		    1636.437	     313.952	    -268.691		    1638.527	      76.983	    -350.647		    1616.687	      20.081	    -415.362		    1647.832	      32.219	    -203.541		    1552.570	      40.126	    -237.079		    1602.411	      44.863	    -180.191		    1306.263	     543.062	    -251.360		    1333.611	     388.955	    -153.752		    1434.571	     390.486	    -126.904		    1380.999	     217.751	    -219.319		    1402.036	      84.680	    -373.272		    1466.781	      45.037	    -438.394		    1378.814	      41.190	    -219.452		    1454.656	      47.099	    -233.154		    1430.286	      34.067	    -178.923	
   8	    1416.372	    1616.596	    -205.746		    1498.515	    1554.632	    -177.501		    1505.900	    1495.668	    -278.241		    1332.726	    1542.707	    -199.075		    1349.622	    1482.987	    -286.868		    1407.953	    1346.888	    -314.226		    1415.190	    1123.364	    -380.938		    1410.432	    1238.525	    -150.089		    1404.000	    1069.956	    -129.608		    1531.685	    1239.196	    -180.469		    1536.159	    1279.268	    -347.822		    1651.015	    1107.435	    -334.153		    1676.644	    1003.402	    -321.078		    1603.232	     988.390	    -344.338		    1715.626	     787.943	    -330.085		    1670.185	     773.219	    -258.241		    1702.690	     866.950	    -314.767		    1714.899	     698.245	    -264.929		    1730.747	     707.930	    -324.317		    1274.711	    1247.447	    -184.539		    1288.868	    1273.207	    -354.648		    1154.486	    1134.441	    -317.163		    1111.193	    1009.069	    -283.772		    1175.064	     983.290	    -327.613		    1084.858	     788.112	    -244.663		    1127.363	     794.701	    -174.974		    1093.281	     885.999	    -237.773		    1099.896	     747.679	    -165.397		    1069.671	     717.304	    -221.307		    1535.629	     911.742	    -176.418		    1400.053	     895.037	    -120.904		    1518.074	     920.258	    -360.333		    1291.053	     899.181	    -189.908		    1409.072	     914.521	    -374.324		    1320.879	     911.678	    -366.147		    1592.026	     599.093	    -137.994		    1608.780	     416.625	    -171.387		    1501.274	     382.672	    -156.725		    1632.029	     316.230	    -266.934		    1635.630	      79.370	    -350.031		    1613.534	      22.906	    -415.075		    1647.847	      32.555	    -203.783		    1551.939	      40.206	    -236.366		    1602.743	      44.657	    -179.894		    1304.475	     543.825	    -248.535		    1334.390	     389.618	    -152.890		    1434.065	     391.969	    -122.995		    1382.731	     219.223	    -218.032		    1409.378	      87.000	    -371.726		    1476.478	      48.006	    -434.876		    1380.024	      41.648	    -220.093		    1456.511	      46.449	    -231.742		    1430.351	      33.500	    -178.464	
   9	    1413.165	    1619.875	    -204.694		    1495.253	    1557.663	    -176.286		    1502.124	    1498.399	    -276.902		    1329.306	    1546.331	    -197.830		    1345.815	    1486.402	    -285.462		    1403.706	    1349.570	    -313.066		    1409.583	    1125.879	    -378.757		    1405.626	    1242.269	    -148.611		    1398.155	    1074.101	    -127.390		    1526.997	    1241.868	    -178.537		    1531.624	    1281.044	    -346.169		    1645.819	    1108.346	    -331.538		    1671.053	    1004.450	    -318.546		    1597.445	     989.336	    -341.165		    1710.199	     789.129	    -326.940		    1665.277	     774.662	    -254.706		    1697.156	     868.022	    -312.028		    1710.939	     700.507	    -260.734		    1726.495	     709.721	    -320.359		    1270.005	    1251.266	    -183.023		    1284.147	    1276.442	    -353.243		    1150.332	    1137.613	    -315.797		    1107.773	    1012.037	    -283.752		    1172.077	     986.720	    -327.187		    1081.280	     790.661	    -244.782		    1124.430	     798.480	    -175.420		    1089.894	     888.702	    -238.622		    1096.724	     752.228	    -164.572		    1065.633	     720.672	    -219.281		    1529.706	     916.292	    -173.519		    1394.447	     900.720	    -117.317		    1511.840	     922.964	    -357.135		    1285.129	     903.384	    -185.985		    1402.855	     917.254	    -370.883		    1314.677	     914.610	    -362.584		    1586.397	     602.404	    -135.068		    1603.241	     420.245	    -168.303		    1496.191	     384.987	    -153.652		    1627.788	     320.678	    -265.288		    1632.929	      83.263	    -348.841		    1610.407	      27.664	    -414.535		    1647.378	      32.507	    -204.076		    1551.395	      40.146	    -235.422		    1602.959	      44.609	    -179.330		    1302.518	     546.986	    -246.500		    1335.400	     393.084	    -152.046		    1433.961	     396.178	    -120.902		    1384.171	     222.687	    -216.567		    1416.004	      89.864	    -369.410		    1484.230	      52.152	    -431.230		    1381.218	      42.053	    -220.523		    1458.321	      45.803	    -230.329		    1430.520	      32.988	    -178.025	
  10	    1409.913	    1625.605	    -203.423		    1491.055	    1562.761	    -175.314		    1498.186	    1503.810	    -275.712		    1325.638	    1552.538	    -196.460		    1341.731	    1492.587	    -284.179		    1399.267	    1354.863	    -311.985		    1403.699	    1130.784	    -376.360		    1400.504	    1248.428	    -147.264		    1392.272	    1080.498	    -125.808		    1521.914	    1247.116	    -176.951		    1526.831	    1285.413	    -344.624		    1640.061	    1112.222	    -329.254		    1664.858	    1008.522	    -316.319		    1591.024	     993.296	    -338.106		    1704.067	     793.364	    -323.687		    1659.748	     779.138	    -251.159		    1691.060	     872.163	    -309.375		    1706.219	     705.710	    -256.598		    1721.597	     714.586	    -316.430		    1264.860	    1258.033	    -181.573		    1279.222	    1282.271	    -351.959		    1146.355	    1143.603	    -314.817		    1104.921	    1017.925	    -283.690		    1169.618	     993.205	    -326.585		    1078.233	     796.022	    -245.997		    1121.744	     804.430	    -176.854		    1086.996	     894.239	    -239.762		    1093.828	     758.988	    -165.081		    1062.349	     726.430	    -218.869		    1523.693	     922.153	    -170.132		    1388.400	     907.474	    -113.538		    1505.091	     928.300	    -353.832		    1278.792	     909.568	    -181.686		    1396.060	     922.699	    -366.994		    1307.996	     920.254	    -358.594		    1580.352	     608.044	    -132.241		    1598.277	     426.266	    -166.479		    1491.652	     390.215	    -152.116		    1623.576	     326.872	    -264.241		    1630.359	      88.546	    -347.052		    1607.598	      34.087	    -413.699		    1647.207	      32.813	    -204.265		    1550.905	      40.144	    -234.591		    1602.967	      44.586	    -178.959		    1300.669	     552.181	    -244.969		    1335.501	     398.808	    -151.756		    1433.478	     402.504	    -120.470		    1384.883	     227.660	    -215.295		    1419.677	      93.555	    -367.080		    1489.322	      57.187	    -428.056		    1382.259	      42.465	    -220.714		    1459.718	      44.994	    -229.292		    1430.858	      32.677	    -177.741	
